sbd;toan;ngu_van;ngoai_ngu;vat_li;hoa_hoc;sinh_hoc;lich_su;dia_li;gdcd;ma_ngoai_ngu
37000001;;;;;;;;;;
37000002;5,2;6,0;;;;;6,0;6,5;;
37000003;;5,25;;;;;8,5;7,5;;
37000004;6,8;5,25;9,0;5,75;5,25;5,25;;;;N1
37000005;;;;;;;;;;
37000006;8,6;7,5;9,2;8,25;6,75;7,0;;;;N1
37000007;7,8;9,0;9,2;6,5;8,0;6,5;;;;N1
37000008;9,0;8,75;9,6;6,75;7,75;8,25;;;;N1
37000009;6,4;7,5;8,6;;;;7,25;6,25;9,5;N1
37000010;;;;;;;;;;
37000011;7,4;7,75;7,8;3,25;7,5;9,0;;;;N1
37000012;;3,75;;;;;4,25;5,0;;
37000013;4,4;7,5;8,2;;;;;;;N1
37000014;8,0;;9,0;;8,25;;;;;N1
37000015;9,0;;;4,25;7,25;;;;;
37000016;8,6;7,75;8,4;9,5;9,25;7,5;;;;N1
37000017;8,6;4,0;8,8;8,0;6,75;7,5;;;;N1
37000018;6,8;8,0;7,0;;;;;;;N1
37000019;7,6;;;5,25;5,0;;;;;
37000020;3,8;6,75;6,4;;;;;;;N1
37000021;8,0;7,75;9,6;6,25;8,0;6,25;;;;N1
37000022;7,4;7,5;9,4;6,75;7,5;7,75;;;;N1
37000023;7,8;8,75;9,6;7,75;7,25;6,75;;;;N1
37000024;8,2;7,0;9,4;4,5;9,0;6,0;;;;N1
37000026;8,6;6,5;9,8;8,0;7,25;6,5;;;;N1
37000027;8,0;7,0;9,6;5,75;7,5;5,75;;;;N1
37000028;6,8;6,0;7,2;;;;;;;N1
37000029;;3,25;;;;;2,0;4,75;;
37000030;;6,75;;;;;7,75;7,5;;
37000031;8,0;6,25;8,4;8,25;6,0;7,0;;;;N1
37000032;7,4;3,75;9,0;4,75;6,5;5,0;;;;N1
37000033;;4,0;;;;;5,75;7,0;;
37000034;7,4;4,25;8,8;;;;;;;N1
37000035;8,6;7,25;8,6;7,75;6,5;7,0;;;;N1
37000036;6,4;8,0;;;;;7,5;8,0;9,25;
37000037;7,8;7,0;7,6;5,0;4,75;7,25;;;;N1
37000038;7,6;7,25;;8,75;5,75;7,75;;;;
37000039;;6,5;;;;;4,25;4,25;;
37000040;;;;;;;;;;
37000041;9,0;6,0;8,4;8,5;6,25;4,0;;;;N1
37000042;;;;;;;;;;
37000043;7,8;4,25;5,4;8,75;7,75;5,0;;;;N1
37000044;5,8;;7,4;4,25;6,25;;;;;N1
37000045;7,6;6,25;;7,0;7,25;8,75;;;;
37000046;8,2;6,75;9,2;8,25;6,75;8,0;;;;N1
37000047;8,8;7,25;;6,75;8,75;8,0;;;;
37000048;6,4;7,75;7,8;;;;;;;N1
37000049;7,2;7,25;9,2;7,5;6,25;8,25;;;;N1
37000050;;4,0;;;;;3,0;5,5;;
37000051;6,6;7,0;6,6;5,0;7,0;7,5;;;;N1
37000052;8,4;8,0;8,8;8,75;8,5;6,5;;;;N1
37000053;;;;;;;;;;
37000054;7,6;6,75;;;;;8,75;;;
37000055;7,6;;6,0;3,75;;;;;;N1
37000056;;5,25;;;;;7,75;4,5;;
37000057;7,8;7,75;9,6;;;;7,0;7,75;10,0;N1
37000058;5,4;6,25;;;;;;;;
37000059;8,4;6,0;7,6;7,75;8,25;5,5;;;;N1
37000060;8,8;6,5;9,4;8,75;5,5;6,75;;;;N1
37000061;7,6;6,0;8,6;6,25;7,0;7,0;;;;N1
37000062;7,8;;;;8,25;7,0;;;;
37000063;7,6;7,25;8,0;7,5;6,5;8,0;;;;N1
37000064;8,2;;;;8,0;7,75;;;;
37000065;8,0;6,75;8,8;9,0;6,75;6,25;;;;N1
37000066;7,0;;;7,25;7,5;4,75;;;;
37000067;8,4;7,75;8,8;7,0;9,25;10,0;;;;N1
37000068;7,8;6,5;7,8;8,5;7,25;6,5;;;;N1
37000069;8,4;7,25;9,4;6,5;7,5;7,0;;;;N1
37000070;8,6;5,25;5,2;4,0;8,5;8,75;;;;N1
37000071;;4,25;;;;;6,25;6,75;;
37000072;9,4;6,25;;7,25;9,75;9,75;;;;
37000073;8,0;7,0;5,6;3,25;9,25;8,75;;;;N1
37000074;7,6;7,25;8,8;;;;9,0;6,75;;N1
37000075;7,4;6,0;9,0;6,5;8,5;6,25;;;;N1
37000076;6,8;6,75;9,0;5,25;7,75;7,0;;;;N1
37000077;8,6;7,25;6,8;;;;9,0;6,75;9,0;N6
37000078;;3,75;;;;;6,75;6,25;;
37000079;8,6;7,5;9,8;;;;7,5;7,25;9,5;N1
37000080;8,8;9,0;9,8;;;;7,75;6,5;9,0;N1
37000081;8,2;8,25;9,2;;;;7,0;6,75;8,75;N1
37000082;7,0;6,25;7,8;6,75;4,75;6,75;;;;N1
37000083;;6,25;;;;;4,25;5,5;;
37000084;7,2;7,75;;;;;6,5;6,75;9,25;
37000085;8,0;7,0;8,6;5,75;8,25;9,0;;;;N1
37000086;;3,0;;;;;7,5;4,0;;
37000087;7,0;6,5;9,0;4,5;8,5;6,75;;;;N1
37000088;7,8;;8,8;4,0;7,25;2,5;;;;N1
37000089;7,8;7,75;8,4;5,5;7,75;7,25;;;;N1
37000090;7,6;7,75;9,4;7,75;7,25;5,75;;;;N1
37000091;8,8;8,5;9,8;;;;8,25;6,25;9,5;N1
37000092;7,4;8,5;8,8;;;;7,75;6,75;9,0;N1
37000093;8,4;6,75;9,4;5,25;8,25;6,25;;;;N1
37000094;8,4;7,5;7,2;;;;9,5;7,75;9,25;N1
37000095;8,0;7,5;9,4;;;;7,75;6,25;10,0;N1
37000096;7,6;7,5;7,0;7,75;7,75;6,0;;;;N1
37000097;7,8;8,25;8,8;;;;8,25;7,0;9,5;N1
37000098;8,2;7,5;6,6;6,5;7,25;7,0;;;;N1
37000099;8,0;7,5;9,0;7,5;8,5;7,0;;;;N1
37000100;8,8;7,5;8,8;7,75;8,25;6,0;;;;N1
37000101;7,4;;4,0;3,25;5,25;;;;;N1
37000102;5,6;7,25;8,4;5,5;7,0;7,25;;;;N1
37000103;;6,0;;;;;9,5;8,75;;
37000104;4,6;;;4,0;3,25;;;;;
37000105;6,8;;;7,5;3,25;;;;;
37000106;8,0;8,0;8,8;;;;7,5;6,25;9,0;N1
37000107;7,4;7,5;9,4;4,0;7,5;6,75;;;;N1
37000108;8,2;8,25;8,8;6,25;5,75;;;;;N1
37000109;6,4;;5,4;3,25;;;;;;N1
37000110;9,6;6,5;9,6;9,0;5,75;6,75;;;;N1
37000111;7,4;5,5;8,6;6,0;7,5;8,75;;;;N1
37000112;2,6;6,25;2,2;;;;;7,0;;N1
37000113;9,4;7,25;7,8;6,5;10,0;9,5;;;;N1
37000114;8,2;;9,0;7,5;3,0;;;;;N1
37000115;7,6;7,25;9,6;7,0;7,25;6,75;;;;N1
37000116;;5,5;;;;;6,0;6,0;;
37000117;8,4;4,0;9,4;6,5;8,5;6,75;;;;N1
37000118;8,2;6,5;8,0;4,0;8,25;9,0;;;;N1
37000119;6,2;8,0;9,6;4,75;7,0;6,25;;;;N1
37000120;7,8;;;;6,75;8,25;;;;
37000121;7,8;5,25;9,8;7,75;5,5;5,5;;;;N1
37000122;;6,75;;;;;5,0;6,75;;
37000123;8,6;6,75;9,0;7,75;5,0;6,5;;;;N1
37000124;8,0;6,25;8,0;6,0;8,75;8,75;;;;N1
37000125;8,8;5,25;9,6;8,0;6,25;5,0;;;;N1
37000126;6,4;6,25;;;;;6,75;5,75;8,25;
37000127;;7,0;6,4;;;;;4,75;;N1
37000128;7,2;5,0;;;;;8,5;;;
37000129;9,2;6,5;8,8;5,75;8,75;9,75;;;;N1
37000130;8,0;;;2,75;8,75;9,25;;;;
37000131;7,2;6,5;8,4;6,75;5,5;7,5;;;;N1
37000132;7,8;5,75;;8,0;7,0;5,25;;;;
37000133;8,2;;8,2;8,25;8,5;;;;;N1
37000134;;7,5;;;;;9,25;8,0;;
37000135;8,2;5,75;8,0;8,25;8,5;6,0;;;;N1
37000136;7,2;6,5;8,0;8,25;8,25;5,5;;;;N1
37000137;;7,0;;;;;7,5;7,0;;
37000138;8,2;6,75;9,4;7,75;8,5;8,0;;;;N1
37000139;8,4;5,5;9,8;7,5;5,5;4,0;;;;N1
37000140;;6,75;;;;;8,0;6,5;;
37000141;3,2;;;3,5;2,75;;;;;
37000142;8,0;7,0;9,6;5,75;8,5;7,75;;;;N1
37000143;;;;;;;;;;
37000144;;7,0;;;;;6,5;5,5;;
37000145;7,0;7,5;8,0;;;;8,5;6,5;8,75;N1
37000146;7,6;7,25;9,8;6,25;8,5;7,75;;;;N1
37000147;7,8;8,0;;6,75;7,75;8,0;;;;
37000148;8,4;8,0;8,4;7,75;8,0;5,75;;;;N1
37000149;8,0;7,75;9,8;6,0;7,5;6,5;;;;N1
37000150;8,4;7,25;9,6;8,75;8,75;8,0;;;;N1
37000151;;;;;;;;;;
37000152;7,0;8,0;9,6;;;;9,0;5,75;9,0;N1
37000153;;5,5;;;;;6,25;6,0;;
37000154;7,4;7,25;;6,75;5,0;4,75;;;;
37000155;8,0;7,25;8,8;8,5;8,0;5,75;;;;N1
37000156;8,0;;8,0;7,25;;;;;;N1
37000157;6,2;8,25;9,4;;;;5,25;5,5;7,0;N1
37000158;7,8;7,25;9,8;7,5;5,75;7,0;;;;N1
37000159;7,4;7,75;9,4;3,75;8,5;8,5;;;;N1
37000160;7,4;6,5;8,6;8,0;6,75;7,25;;;;N1
37000161;6,2;;;5,25;7,25;7,0;;;;
37000162;8,4;8,25;8,8;;;;9,5;8,0;9,75;N1
37000163;8,2;7,25;8,6;8,5;6,75;6,75;;;;N1
37000164;8,4;6,75;;4,75;9,0;9,25;;;;
37000165;6,6;5,25;9,4;8,0;7,5;8,25;;;;N1
37000166;7,4;8,5;8,6;6,5;6,0;6,0;;;;N1
37000167;7,6;6,75;7,4;8,0;6,5;6,0;;;;N1
37000168;9,0;6,5;;5,0;8,5;9,5;;;;
37000169;5,4;5,25;9,2;3,25;7,5;8,25;;;;N1
37000170;6,8;7,5;6,6;7,75;8,0;5,5;;;;N1
37000171;8,0;5,25;7,4;5,5;8,75;8,5;;;;N1
37000172;6,6;6,25;7,6;6,0;5,75;6,75;;;;N1
37000173;;5,25;;;;;7,0;5,0;;
37000174;7,6;7,75;;4,5;8,5;7,25;;;;
37000175;8,2;6,25;9,0;7,0;9,0;8,0;;;;N1
37000176;6,6;;5,0;6,5;;;;;;N1
37000177;;6,0;;;;;9,75;7,5;;
37000178;7,6;7,25;9,2;;;;6,0;5,75;8,5;N1
37000179;6,8;;;5,75;6,75;;;;;
37000180;8,0;5,5;8,8;8,5;7,75;5,0;;;;N1
37000181;;6,5;;;;;5,5;6,0;;
37000182;;5,0;;;;;6,0;9,0;;
37000183;;5,5;;;;;8,5;8,25;;
37000184;8,2;8,25;8,6;8,25;6,75;7,0;;;;N1
37000185;9,0;7,75;8,0;7,0;9,0;9,25;;;;N1
37000186;;5,5;;;;;5,25;5,5;;
37000187;;4,5;;;;;4,5;5,25;;
37000188;7,8;8,0;;7,75;8,75;8,25;;;;
37000189;3,6;4,0;3,6;2,25;3,75;4,75;;;;N1
37000190;;5,25;;;;;7,5;7,0;;
37000191;7,2;8,25;8,6;;;;6,75;6,0;9,0;N1
37000192;8,4;7,25;9,0;6,75;9,0;9,75;;;;N1
37000193;6,0;7,25;8,8;4,5;6,5;6,5;;;;N1
37000194;7,4;6,75;4,8;;;;;;;N1
37000195;7,6;8,0;;7,75;7,5;7,25;;;;
37000196;7,4;6,0;;;;;8,25;6,75;8,0;
37000197;7,2;7,0;;;;;8,5;8,5;9,5;
37000198;7,0;8,0;8,0;;;;6,75;7,75;10,0;N1
37000199;8,4;7,0;9,6;7,25;8,25;8,0;;;;N1
37000200;6,2;6,75;5,4;;;;;;;N1
37000201;8,0;6,75;;8,0;7,5;6,75;;;;
37000202;7,8;6,75;8,8;7,25;6,75;7,25;;;;N1
37000203;7,6;;;7,0;6,75;;;;;
37000204;8,6;5,0;9,0;8,25;6,5;7,5;;;;N1
37000205;9,2;6,5;9,2;9,25;6,75;7,25;;;;N1
37000206;;8,0;;;;;9,5;8,5;;
37000207;8,4;7,25;9,2;8,0;6,25;7,0;;;;N1
37000208;;6,75;;;;;9,25;8,5;;
37000209;;7,75;;;;;9,0;8,25;;
37000210;;4,25;;;;;5,25;4,25;;
37000211;;5,75;;;;;8,25;6,75;;
37000212;8,2;8,0;6,0;5,5;7,75;9,0;;;;N1
37000213;8,2;8,0;9,4;;;;;;;N1
37000214;7,4;6,75;8,2;;;;8,5;9,0;10,0;N1
37000215;8,4;8,0;;6,5;8,5;8,75;;;;
37000216;5,6;8,0;8,0;;;;8,5;6,25;10,0;N1
37000217;;6,0;;;;;6,25;6,5;;
37000218;7,2;;6,6;;6,5;;;;;N1
37000219;;6,0;;;;;5,25;4,25;;
37000220;8,0;5,0;7,8;7,75;4,0;6,75;;;;N1
37000221;8,4;6,75;9,4;7,25;6,75;7,25;;;;N1
37000222;8,2;6,75;7,0;3,75;8,75;8,75;;;;N1
37000223;8,0;7,75;9,2;;;;7,25;9,5;9,75;N1
37000224;7,4;7,5;9,0;;;;7,25;6,75;9,5;N1
37000225;7,8;8,75;;;;;8,5;6,5;10,0;
37000226;7,2;;7,2;7,25;;;;;;N1
37000227;7,8;8,25;;;;;8,5;7,5;9,75;
37000228;8,0;6,5;8,6;8,25;5,5;5,0;;;;N1
37000229;8,2;;8,2;2,75;6,75;3,75;;;;N1
37000230;;4,75;;;;;6,25;4,75;;
37000231;;6,0;;;;;8,25;8,0;;
37000232;8,0;5,0;9,8;8,75;8,75;7,75;;;;N1
