Type;Name;Time;?;Pity;#Roll;Group;Banner;Part
Weapon;Cool Steel;2023-08-17 13:28:51;3;1;1;1;Discerner of Enigmas;Wish 2
Weapon;Skyrider Sword;2023-08-17 13:28:51;3;1;2;1;Discerner of Enigmas;Wish 2
Weapon;Black Tassel;2023-08-17 13:28:51;3;1;3;1;Discerner of Enigmas;Wish 2
Character;Yelan;2023-08-17 13:28:51;5;4;4;1;Discerner of Enigmas;Wish 2
Weapon;Raven Bow;2023-08-17 13:28:51;3;1;5;1;Discerner of Enigmas;Wish 2
Weapon;Black Tassel;2023-08-17 13:28:51;3;1;6;1;Discerner of Enigmas;Wish 2
Character;Barbara;2023-08-17 13:28:51;4;7;7;1;Discerner of Enigmas;Wish 2
Weapon;Raven Bow;2023-08-17 13:28:51;3;1;8;1;Discerner of Enigmas;Wish 2
Weapon;Harbinger of Dawn;2023-08-17 13:28:51;3;1;9;1;Discerner of Enigmas;Wish 2
Weapon;Harbinger of Dawn;2023-08-17 13:28:51;3;1;10;1;Discerner of Enigmas;Wish 2
Weapon;Skyrider Sword;2023-08-27 15:29:10;3;1;11;2;Conjuring Chiaroscuro;
Weapon;Sharpshooter's Oath;2023-08-27 15:29:16;3;1;12;3;Conjuring Chiaroscuro;
Weapon;Emerald Orb;2023-08-28 11:26:42;3;1;13;4;Conjuring Chiaroscuro;
Weapon;Sharpshooter's Oath;2023-08-28 11:56:54;3;1;14;5;Conjuring Chiaroscuro;
Character;Lynette;2023-08-28 12:19:03;4;8;15;6;Conjuring Chiaroscuro;
Weapon;Cool Steel;2023-08-28 12:19:24;3;1;16;7;Conjuring Chiaroscuro;
Weapon;Harbinger of Dawn;2023-08-30 23:09:02;3;1;17;8;Conjuring Chiaroscuro;
Weapon;Rainslasher;2023-09-01 10:04:40;4;3;18;9;Conjuring Chiaroscuro;
Weapon;Bloodtainted Greatsword;2023-09-01 10:04:52;3;1;19;10;Conjuring Chiaroscuro;
Weapon;Sharpshooter's Oath;2023-09-01 10:18:51;3;1;20;11;Conjuring Chiaroscuro;
Weapon;Ferrous Shadow;2023-09-01 21:07:42;3;1;21;12;Conjuring Chiaroscuro;
Weapon;Black Tassel;2023-09-01 22:20:33;3;1;22;13;Conjuring Chiaroscuro;
Weapon;Magic Guide;2023-09-01 22:25:15;3;1;23;14;Conjuring Chiaroscuro;
Weapon;Sharpshooter's Oath;2023-09-01 22:40:14;3;1;24;15;Conjuring Chiaroscuro;
Weapon;Magic Guide;2023-09-01 22:40:42;3;1;25;16;Conjuring Chiaroscuro;
Character;Bennett;2023-09-02 20:55:34;4;8;26;17;Conjuring Chiaroscuro;
Weapon;Ferrous Shadow;2023-09-02 20:55:53;3;1;27;18;Conjuring Chiaroscuro;
Weapon;Emerald Orb;2023-09-05 13:21:44;3;1;28;19;Conjuring Chiaroscuro;
Weapon;Sharpshooter's Oath;2023-09-06 21:37:31;3;1;1;1;Gentry of Hermitage;
Weapon;Ferrous Shadow;2023-09-06 21:50:26;3;1;2;2;Gentry of Hermitage;
