Type;Name;Time;?;Pity;#Roll;Group;Banner;Part
Weapon;Thrilling Tales of Dragon Slayers;2023-08-17 13:29:42;3;1;1;1;Epitome Invocation;
Weapon;Slingshot;2023-08-17 13:39:39;3;1;2;2;Epitome Invocation;
Weapon;Black Tassel;2023-08-18 10:43:26;3;1;3;3;Epitome Invocation;
Weapon;Black Tassel;2023-08-18 11:36:39;3;1;4;4;Epitome Invocation;
Weapon;Favonius Greatsword;2023-08-18 11:58:33;4;5;5;5;Epitome Invocation;
Weapon;Sacrificial Bow;2023-08-18 11:59:06;4;1;6;6;Epitome Invocation;
Character;Xinyan;2023-08-18 20:30:20;4;1;7;7;Epitome Invocation;
Weapon;Harbinger of Dawn;2023-08-18 20:30:49;3;1;8;8;Epitome Invocation;
Weapon;Raven Bow;2023-08-18 20:33:49;3;1;9;9;Epitome Invocation;
Weapon;Skyrider Sword;2023-08-19 19:48:33;3;1;10;10;Epitome Invocation;
Weapon;Emerald Orb;2023-08-19 19:58:30;3;1;11;11;Epitome Invocation;
Weapon;Cool Steel;2023-08-20 09:53:44;3;1;12;12;Epitome Invocation;
Weapon;Cool Steel;2023-08-25 09:35:21;3;1;13;13;Epitome Invocation;
Weapon;Thrilling Tales of Dragon Slayers;2023-08-25 10:57:54;3;1;14;14;Epitome Invocation;
Weapon;Favonius Greatsword;2023-08-27 14:23:06;4;8;15;15;Epitome Invocation;
Weapon;The First Great Magic;2023-08-27 15:28:22;5;16;16;16;Epitome Invocation;
Weapon;Raven Bow;2023-09-27 21:29:23;3;1;1;1;Epitome Invocation;
Weapon;Sharpshooter's Oath;2023-09-27 21:29:32;3;1;2;2;Epitome Invocation;
Weapon;Cool Steel;2023-09-27 21:29:39;3;1;3;3;Epitome Invocation;
Weapon;Slingshot;2023-09-27 21:42:47;3;1;4;4;Epitome Invocation;
Weapon;Sharpshooter's Oath;2023-09-27 22:01:21;3;1;5;5;Epitome Invocation;
Weapon;Black Tassel;2023-09-28 09:08:29;3;1;6;6;Epitome Invocation;
Weapon;Favonius Codex;2023-09-28 09:08:39;4;8;7;7;Epitome Invocation;
Weapon;Raven Bow;2023-09-28 09:09:02;3;1;8;8;Epitome Invocation;
Weapon;Debate Club;2023-09-28 09:09:38;3;1;9;9;Epitome Invocation;
Weapon;Magic Guide;2023-09-28 14:12:25;3;1;10;10;Epitome Invocation;
Weapon;Raven Bow;2023-09-28 19:44:26;3;1;11;11;Epitome Invocation;
Weapon;Sharpshooter's Oath;2023-09-28 20:44:27;3;1;12;12;Epitome Invocation;
Weapon;Magic Guide;2023-09-29 19:14:40;3;1;13;13;Epitome Invocation;
Weapon;Thrilling Tales of Dragon Slayers;2023-09-29 19:14:51;3;1;14;14;Epitome Invocation;
Weapon;Raven Bow;2023-09-29 19:15:00;3;1;15;15;Epitome Invocation;
Weapon;Favonius Codex;2023-09-29 19:15:51;4;9;16;16;Epitome Invocation;
Weapon;Magic Guide;2023-09-29 20:37:27;3;1;17;17;Epitome Invocation;
Weapon;Bloodtainted Greatsword;2023-09-29 20:37:55;3;1;18;18;Epitome Invocation;
Weapon;Thrilling Tales of Dragon Slayers;2023-09-29 23:19:44;3;1;19;19;Epitome Invocation;
Weapon;Cool Steel;2023-09-30 09:21:44;3;1;20;20;Epitome Invocation;
Weapon;Raven Bow;2023-09-30 09:21:54;3;1;21;21;Epitome Invocation;
Weapon;Raven Bow;2023-09-30 18:47:11;3;1;22;22;Epitome Invocation;
Weapon;Skyrider Sword;2023-09-30 19:17:20;3;1;23;23;Epitome Invocation;
Weapon;Tome of the Eternal Flow;2023-09-30 20:16:53;5;24;24;24;Epitome Invocation;
Weapon;Favonius Codex;2023-10-13 21:19:38;4;9;25;25;Epitome Invocation;
Weapon;Cool Steel;2023-10-14 19:55:10;3;1;26;26;Epitome Invocation;
Weapon;Bloodtainted Greatsword;2023-10-14 20:00:11;3;1;27;27;Epitome Invocation;
Weapon;Harbinger of Dawn;2023-10-15 21:59:00;3;1;28;28;Epitome Invocation;
Weapon;Slingshot;2023-10-17 15:15:57;3;1;29;29;Epitome Invocation;
Weapon;Slingshot;2023-10-20 13:54:19;3;1;1;1;Epitome Invocation;
Weapon;Skyrider Sword;2023-10-22 12:22:14;3;1;2;2;Epitome Invocation;
Weapon;Cool Steel;2024-01-16 20:47:53;3;1;1;1;Epitome Invocation;
Weapon;Cool Steel;2024-01-19 13:55:13;3;1;2;2;Epitome Invocation;
Weapon;Favonius Sword;2024-01-19 13:55:18;4;9;3;3;Epitome Invocation;
